1位,"",☔️ハーピー狂,432057個
2位,"",幸喜___,348570個
3位,"",EL☪,345354個
4位,"",Lipton募集,290798個
5位,"",ま✿,276761個
6位,"",栄枯盛衰❂☪,263824個
7位,"",むぅちゃん,259391個
8位,"",te✿chi,252672個
9位,"",リプトン募集中,219426個
10位,"",let'sぷよ募,218744個
11位,"",ゆいたん,213490個
12位,"",❀おしよ✙ᐝ_,212083個
13位,"",早乙女@募集中♪,210977個
14位,"",白キノコマン,209367個
15位,"",Wみーちゃん✿,203949個
16位,"",️絶望えり,203877個
17位,"",勇✿くれーる,200669個
18位,"",キヨねこらん募集,198218個
19位,"",とら×,194208個
20位,"",ポンちゃん☪,192615個
21位,"",すず❂☪,191420個
22位,"",ほしみ★祝SSS,189101個
23位,"",交戦中㌔,187972個
24位,"",ゆき♡エーミール,187889個
25位,"",馬券師池田,187197個
26位,"",うちゃ,185250個
27位,"",ゴーストライター,182532個
28位,"",すたんどＵＰあき,182254個
29位,"",リリス＊BT中,182185個
30位,"",ParU_,181692個
