1位,"",Dizzy✿,106828個
2位,"",幸喜   ,93731個
3位,"",☔️ハーピー狂,84324個
4位,"",EL☪,83481個
5位,"",❀おしよ✙ᐝ ,82633個
6位,"",te✿chi,78565個
7位,"",なおたん❂☪,74100個
8位,"",まっくん,73952個
9位,"",栄枯盛衰❂☪,69280個
10位,"",勇,67558個
11位,"",ゴーストライター,63823個
12位,"",むぅちゃん,63579個
13位,"",Mumin谷口♪,63110個
14位,"",️絶望えり,62727個
15位,"",ParU ,62717個
16位,"",ほしみ★祝SSS,60928個
17位,"",じゅにあ,60351個
18位,"",ゴリねこらん募集,59957個
19位,"",まき,58699個
20位,"",let'sぷよ募,58657個
21位,"",ゆき♡エーミール,58423個
22位,"",まとー,57750個
23位,"",ゆいたん,57055個
24位,"",リリス＊BT中,56125個
25位,"",おやじ～ず,54922個
26位,"",イカ,54717個
27位,"",変態クラブ╰㌔╯,54180個
28位,"",すたんどＵＰあき,50369個
29位,"",リンク  ,50180個
30位,"",セバスチャン,49834個
