1位,"",えりお,14799個
2位,"",ほのえり,5732個
3位,"",ジャイアント風邪,5678個
4位,"",うりぼう@えり,4025個
5位,"",とちゅてぃー,3288個
6位,"",ねがえり,2693個
7位,"",89えり,2214個
8位,"",えりち,1613個
9位,"",つめえり,1114個
10位,"",ろくごう,672個
11位,"",いすず,183個
12位,"",(。・_・。),0個
12位,"",・8・,0個
12位,"",なつえり,0個
12位,"",えりの右手,0個
12位,"",コンバ,0個
12位,"",しろえり,0個
12位,"",すか懲役40年,0個
12位,"",えりだった何か,0個
12位,"",きえっりーに,0個
12位,"",かふぇえり,0個
12位,"",デュえりスト,0個
12位,"",ナスカ・8・,0個
12位,"",優えり,0個
12位,"",びゅるえり,0個
12位,"",左えり,0個
12位,"",えりごりくん,0個
12位,"",miya,0個
12位,"",さほみ@えり,0個
12位,"",ミヤテル@えり,0個
