1位,"",Dizzy✿,160215個
2位,"",☔️ハーピー狂,153579個
3位,"",EL☪,141038個
4位,"",幸喜   ,137776個
5位,"",❀おしよ✙ᐝ ,128388個
6位,"",te✿chi,122950個
7位,"",Lipton募集,119167個
8位,"",なおたん❂☪,112844個
9位,"",ゴーストライター,111225個
10位,"",勇✿くれーる,109646個
11位,"",️絶望えり,105342個
12位,"",栄枯盛衰❂☪,103152個
13位,"",むぅちゃん,100754個
14位,"",ゆいたん,97023個
15位,"",サンアミ可愛い,95766個
16位,"",まき,95307個
17位,"",ほしみ★祝SSS,92969個
18位,"",おやじ～ず,91713個
19位,"",放課後変態クラブ,89236個
20位,"",朱雀,88115個
21位,"",リリス＊BT中,87570個
22位,"",let'sぷよ募,87297個
23位,"",魔王❤中国出張,85966個
24位,"",ゆき♡エーミール,85543個
25位,"",まとー,84952個
26位,"",ゴリねこらん募集,84185個
27位,"",ポンちゃん☪,83337個
28位,"",Wみーちゃん✿,82887個
29位,"",ゆきママ,82487個
30位,"",キュア,80862個
