,2015/11/12 21:41:04
pickUpTU
トム, ,
,,
,,
Mu, ,
,,
,,
星, ,
,,
,,
Ra, ,
,,
,,
上位, ,
,,
,,
Diz, ,
,,
,,
ばよ, ,
,,
,,
嵐山, ,
,,
,,
さんらいず, ,
,,
,,
とわいらいと, ,
,,
,,
pickUpRank
ranking
1,1104,Dizzy?
2,1074,Mumin谷??
3,983,トムソン??
4,952,Ra?ffine
5,911,☆☆ながれ星彡
6,871,上位目指す隊?
7,844,さんらいず??
8,843,ばよえ?ん。
9,801,†とわいらいと†
10,799,嵐山
11,785,早乙女学園?
12,772,さんせっと??
13,765,まるむすてぃ?ん
14,763,もっこすなぎさ！
15,756,えすぽらーず
16,749,?いちごぷよ隊?
17,741,かもみ～るかふぇ
18,719,谷口ぴーまん
19,718,tipo
20,687,赤い妖精
21,687,カーバンクル
22,667,?Ｃlair?
23,666,からあげ流星群
24,665,たいようのほこら
25,659,淡麗生!!
26,656,ぴんぽーん
27,653,Antenna
28,649,MYM318☆彡
29,629,ねこたらんど
30,627,ミッドガルド?
31,626,かおりワールド
32,621,だらゴロ・囚・
33,617,LovE?
34,613,ぷよビ～ッチ☆
35,610,いえろ～こんび♪
36,609,一生を寝てい隊
37,609,プリンシパル☆彡
38,604,?怪盗スケルトン
39,604,ねこぽよ軍??
40,603,にゃ?んだふる♪
41,602,V.I.P.
42,601,Law@
43,601,ももピーチ帝国
44,599,無課金こそ愉悦!
45,589,にないか
46,589,Lαvｉn&#039;υ?
47,589,☆命蓮寺☆
48,588,ぷよクエ楽しみ隊
49,588,†魔導学校†
50,586,Luxillia
51,585,ねこずき
52,582,Buzz?
53,581,ＢＢ団
54,580,★愉快な仲間達☆
55,575,やわらかギルド
56,570,★エーミール★
57,569,ぷよろう会
58,568,ぼっち同盟
59,565,賢者モード
60,565,チームかつをぶし
61,564,果物の缶詰
62,559,かわいいはせいぎ
63,555,?アンシェル?
64,553,ちょびぎるど
65,552,お笑い?研究府
66,552,自由都市ももにち
67,551,同じ穴のぷよら～
68,548,BestLuck
69,547,ぷよっとパニック
70,546,無KG板ギルド
71,543,佐久間上水
72,541,?KoB?
73,539,コンパイルクラブ
74,539,ウィッチ魔法学院
75,539,トウーンタウン
76,539,みなみけ
77,538,2chスレギルド
78,538,ブルーウィング
79,538,Blackチョコ
80,537,ラフィ亭
81,536,お腹@ばよ?支店
82,536,とれっきんぐ
83,535,ファンタビーチ
84,535,エランド
85,534,パンダ百匹！！
86,534,陽だまりのねこ?
87,533,祝！ＳＳあひる組
88,528,うさぎの巣?
89,527,let&#039;sぷよ！
90,523,遊戯都市第七地区
91,522,Ｋ２
92,519,六猫?おーき軍
93,518,猫好き仙人界
94,515,Gunners!
95,512,チームかわいい
96,510,みなとみらい
97,510,パーミテーション
98,509,ジュビレーション
99,509,ひろす
100,507,ねこのうにメロン
101,504,ギルド一ナツ
102,503,☆ネコカフェ☆
103,503,COLORS＊*
104,503,SPIRAL★彡
105,499,手製ぷよ
106,496,早起は三文のとく
107,492,まったり勢。
108,492,チームやどかり
109,491,???☆
110,491,ぷよく鉛筆?HB
111,490,AGILE
112,490,ぐみぷよ
113,489,サークルフォイ
