,2015/11/12 15:43:02
pickUpTU
トム, ,
,,
,,
Mu, ,
,,
,,
星, ,
,,
,,
Ra, ,
,,
,,
上位, ,
,,
,,
Diz, ,
,,
,,
ばよ, ,
,,
,,
嵐山, ,
,,
,,
さんらいず, ,
,,
,,
とわいらいと, ,
,,
,,
pickUpRank
ranking
1,1048,Dizzy?
2,1016,Mumin谷??
3,895,トムソン??
4,859,Ra?ffine
5,809,☆☆ながれ星彡
6,789,上位目指す隊?
7,761,さんらいず??
8,757,ばよえ?ん。
9,735,†とわいらいと†
10,723,嵐山
11,706,さんせっと??
12,705,早乙女学園?
13,698,えすぽらーず
14,683,まるむすてぃ?ん
15,679,?いちごぷよ隊?
16,677,RedbuII?
17,654,かもみ～るかふぇ
18,637,tipo
19,627,赤い妖精
20,624,谷口ぴーまん
21,612,カーバンクル
22,602,たいようのほこら
23,599,淡麗生!!
24,592,?Ｃlair?
25,590,からあげ流星群
26,589,Antenna
27,582,MYM318☆彡
28,578,ミッドガルド?
29,574,ぴんぽーん
30,570,かおりワールド
31,568,ねこたらんど
32,561,だらゴロ・囚・
33,560,LovE?
34,550,プリンシパル☆彡
35,550,ぷよビ～ッチ☆
36,549,一生を寝てい隊
37,548,V.I.P.
38,547,無課金こそ愉悦!
39,547,?怪盗スケルトン
40,547,いえろ～こんび♪
41,544,Lαvｉn&#039;υ?
42,543,ねこぽよ軍??
43,542,にないか
44,541,Law@
45,539,にゃ?んだふる♪
46,539,ももピーチ帝国
47,537,†魔導学校†
48,534,Luxillia
49,532,☆命蓮寺☆
50,528,ねこずき
51,527,Buzz?
52,526,★愉快な仲間達☆
53,520,ＢＢ団
54,516,やわらかギルド
55,516,賢者モード
56,515,チームかつをぶし
57,515,ぷよクエ楽しみ隊
58,514,★エーミール★
59,511,お笑い?研究府
60,510,果物の缶詰
61,510,ちょびぎるど
62,509,ぷよろう会
63,505,ぼっち同盟
64,501,自由都市ももにち
65,499,かわいいはせいぎ
66,498,ぷよっとパニック
67,495,同じ穴のぷよら～
68,495,?アンシェル?
69,490,2chスレギルド
70,490,?KoB?
71,489,佐久間上水
72,488,とれっきんぐ
73,487,お腹@ばよ?支店
74,485,無KG板ギルド
75,483,ラフィ亭
76,483,みなみけ
77,483,ブルーウィング
78,482,コンパイルクラブ
79,482,BestLuck
80,479,ぁひるたいちょ組
81,478,トウーンタウン
82,477,Gunners!
83,477,パンダ百匹！！
84,476,Ｋ２
85,476,エランド
86,476,ウィッチ魔法学院
87,476,遊戯都市第七地区
88,475,Blackチョコ
89,475,ファンタビーチ
90,474,うさぎの巣?
91,472,陽だまりのねこ?
92,465,六猫?おーき軍
93,464,猫好き仙人界
94,464,ジュビレーション
95,463,ひろす
96,463,let&#039;sぷよ！
97,461,パーミテーション
98,458,ギルド一ナツ
99,458,チームかわいい
100,458,みなとみらい
101,455,ぷよく鉛筆?HB
102,454,COLORS＊*
103,454,☆ネコカフェ☆
104,450,ねこのうにメロン
105,449,早起は三文のとく
106,447,ぷよよよよよん?
107,447,SPIRAL★彡
108,447,TEREON&#039;s
109,443,けにくら！祝LS
110,443,???☆
111,441,北の大地☆人情派
112,441,手製ぷよ
113,439,まったり勢。
