,2015/11/12 00:19:02
pickUpTU
トム, ,
,,
,,
Mu, ,
,,
,,
星, ,
,,
,,
Ra, ,
,,
,,
上位, ,
,,
,,
Diz, ,
,,
,,
ばよ, ,
,,
,,
嵐山, ,
,,
,,
さんらいず, ,
,,
,,
とわいらいと, ,
,,
,,
pickUpRank
ranking
1,699,Mumin谷??
2,693,Dizzy?
3,590,Ra?ffine
4,585,☆☆ながれ星彡
5,564,トムソン??
6,520,上位目指す隊?
7,515,ばよえ?ん。
8,511,さんせっと??
9,506,さんらいず??
10,502,†とわいらいと†
11,485,?いちごぷよ隊?
12,483,えすぽらーず
13,478,早乙女学園?
14,476,RedbuII?
15,467,嵐山
16,441,谷口ぴーまん
17,434,まるむすてぃ?ん
18,428,かもみ～るかふぇ
19,418,淡麗生!!
20,415,カーバンクル
21,413,からあげ流星群
22,409,?Ｃlair?
23,409,Antenna
24,401,たいようのほこら
25,398,かおりワールド
26,395,tipo
27,395,赤い妖精
28,394,無課金こそ愉悦!
29,394,ミッドガルド?
30,393,MYM318☆彡
31,386,ぴんぽーん
32,386,いえろ～こんび♪
33,385,?怪盗スケルトン
34,382,ねこたらんど
35,382,Lαvｉn&#039;υ?
36,381,LovE?
37,379,だらゴロ・囚・
38,379,プリンシパル☆彡
39,378,チームかつをぶし
40,378,Law@
41,377,V.I.P.
42,375,にゃ?んだふる♪
43,372,ちょびぎるど
44,371,ぷよクエ楽しみ隊
45,371,†魔導学校†
46,368,一生を寝てい隊
47,366,☆命蓮寺☆
48,364,★愉快な仲間達☆
49,362,ももピーチ帝国
50,361,かわいいはせいぎ
51,361,祝3S佐久間上水
52,360,ねこずき
53,359,同じ穴のぷよら～
54,358,ＢＢ団
55,356,お笑い?研究府
56,356,にないか
57,355,ねこぽよ軍??
58,354,★エーミール★
59,351,自由都市ももにち
60,351,賢者モード
61,351,ぷよビ～ッチ☆
62,346,やわらかギルド
63,342,ぷよっとパニック
64,341,とれっきんぐ
65,341,ブルーウィング
66,339,ねこのうにメロン
67,338,ぷよろう会
68,338,果物の缶詰
69,338,ぷよよよよよん?
70,333,?KoB?
71,332,?アンシェル?
72,331,Buzz?
73,331,Luxillia
74,331,みなとみらい
75,329,パーミテーション
76,328,2chスレギルド
77,328,ぼっち同盟
78,328,無KG板ギルド
79,327,お腹@ばよ?支店
80,324,ジュビレーション
81,323,ラフィ亭
82,322,猫好き仙人界
83,320,うさぎの巣?
84,320,陽だまりのねこ?
85,320,AGILE
86,320,エランド
87,319,BestLuck
88,319,Ｋ２
89,318,トウーンタウン
90,317,Blackチョコ
91,317,ウィッチ魔法学院
92,315,コンパイルクラブ
93,315,コスモツリー
94,314,けにくら！祝LS
95,314,ぷよく鉛筆?HB
96,314,遊戯都市第七地区
97,311,ギルド一ナツ
98,311,Gunners!
99,310,SPIRAL★彡
100,310,ももぐみ
101,309,ぁひるたいちょ組
102,308,パンダ百匹！！
103,308,みなみけ
104,306,ファンタビーチ
105,304,COLORS＊*
106,304,Lipton　
107,303,早起は三文のとく
108,301,Tぷよ軍団
109,300,北の大地☆人情派
110,300,LxStella
111,299,まったりにゃーん
112,299,?水守革命?
113,299,手製ぷよ
