,2015/11/12 15:38:02
pickUpTU
トム, ,
,,
,,
Mu, ,
,,
,,
星, ,
,,
,,
Ra, ,
,,
,,
上位, ,
,,
,,
Diz, ,
,,
,,
ばよ, ,
,,
,,
嵐山, ,
,,
,,
さんらいず, ,
,,
,,
とわいらいと, ,
,,
,,
pickUpRank
ranking
1,1048,Dizzy?
2,1015,Mumin谷??
3,894,トムソン??
4,859,Ra?ffine
5,809,☆☆ながれ星彡
6,788,上位目指す隊?
7,760,さんらいず??
8,755,ばよえ?ん。
9,734,†とわいらいと†
10,722,嵐山
11,704,早乙女学園?
12,704,さんせっと??
13,698,えすぽらーず
14,681,まるむすてぃ?ん
15,679,?いちごぷよ隊?
16,676,RedbuII?
17,653,かもみ～るかふぇ
18,636,tipo
19,626,赤い妖精
20,623,谷口ぴーまん
21,612,カーバンクル
22,601,たいようのほこら
23,599,淡麗生!!
24,591,?Ｃlair?
25,589,からあげ流星群
26,589,Antenna
27,582,MYM318☆彡
28,578,ミッドガルド?
29,573,ぴんぽーん
30,569,かおりワールド
31,567,ねこたらんど
32,561,だらゴロ・囚・
33,559,LovE?
34,549,プリンシパル☆彡
35,549,一生を寝てい隊
36,549,ぷよビ～ッチ☆
37,547,V.I.P.
38,547,無課金こそ愉悦!
39,546,?怪盗スケルトン
40,546,いえろ～こんび♪
41,543,Lαvｉn&#039;υ?
42,542,ねこぽよ軍??
43,541,にないか
44,540,Law@
45,539,にゃ?んだふる♪
46,538,ももピーチ帝国
47,537,†魔導学校†
48,533,Luxillia
49,531,☆命蓮寺☆
50,528,ねこずき
51,526,Buzz?
52,525,★愉快な仲間達☆
53,519,ＢＢ団
54,516,やわらかギルド
55,515,賢者モード
56,514,チームかつをぶし
57,514,★エーミール★
58,514,ぷよクエ楽しみ隊
59,510,お笑い?研究府
60,510,果物の缶詰
61,509,果物の缶詰
62,508,ぷよろう会
63,504,ぼっち同盟
64,500,自由都市ももにち
65,498,かわいいはせいぎ
66,497,ぷよっとパニック
67,495,同じ穴のぷよら～
68,495,?アンシェル?
69,489,2chスレギルド
70,489,?KoB?
71,488,佐久間上水
72,486,とれっきんぐ
73,486,お腹@ばよ?支店
74,484,無KG板ギルド
75,482,ラフィ亭
76,482,コンパイルクラブ
77,482,ブルーウィング
78,481,みなみけ
79,481,BestLuck
80,478,ぁひるたいちょ組
81,477,Gunners!
82,476,トウーンタウン
83,476,パンダ百匹！！
84,476,Ｋ２
85,475,ウィッチ魔法学院
86,475,エランド
87,475,遊戯都市第七地区
88,474,Blackチョコ
89,474,ファンタビーチ
90,473,うさぎの巣?
91,472,陽だまりのねこ?
92,465,六猫?おーき軍
93,463,ジュビレーション
94,463,猫好き仙人界
95,463,ひろす
96,462,let&#039;sぷよ！
97,461,パーミテーション
98,458,ギルド一ナツ
99,457,チームかわいい
100,457,みなとみらい
101,455,ぷよく鉛筆?HB
102,454,COLORS＊*
103,453,☆ネコカフェ☆
104,449,ねこのうにメロン
105,449,早起は三文のとく
106,447,ぷよよよよよん?
107,446,TEREON&#039;s
108,446,SPIRAL★彡
109,443,けにくら！祝LS
110,442,???☆
111,441,北の大地☆人情派
112,440,手製ぷよ
113,439,まったり勢。
