,2015/11/15 14:26:02
pickUpTU
トム, ,
,,
,,
Mu, ,
,,
,,
星, ,
,,
,,
Ra, ,
,,
,,
上位, ,
,,
,,
Diz, ,
,,
,,
ばよ, ,
,,
,,
嵐山, ,
,,
,,
さんらいず, ,
,,
,,
とわいらいと, ,
,,
,,
pickUpRank
ranking
1,1507,Dizzy?
2,1503,Mumin谷??
3,1441,トムソン??
4,1377,☆☆ながれ星彡
5,1371,Ra?ffine
6,1343,上位目指す隊?
7,1324,ばよえ?ん。
8,1310,嵐山
9,1300,さんらいず??
10,1299,まるむすてぃ?ん
11,1283,†とわいらいと†
12,1228,早乙女学園?
13,1199,さんせっと??
14,1199,?いちごぷよ隊?
15,1199,祝RedbuII
16,1169,えすぽらーず
17,1157,カーバンクル
18,1142,tipo
19,1135,赤い妖精
20,1135,谷口ぴーまん
21,1134,かもみ～るかふぇ
22,1121,たいようのほこら
23,1104,ぴんぽーん
24,1089,だらゴロ・囚・
25,1086,?Ｃlair?
26,1079,Luxillia
27,1074,☆命蓮寺☆
28,1065,ねこたらんど
29,1064,Antenna
30,1064,ももピーチ帝国
31,1058,かおりワールド
32,1056,?怪盗スケルトン
33,1054,MYM318☆彡
34,1049,にゃ?んだふる♪
35,1048,からあげ流星群
36,1046,淡麗生!!
37,1044,かわいいはせいぎ
38,1042,プリンシパル☆彡
39,1042,ぷよクエ楽しみ隊
40,1041,無課金こそ愉悦!
41,1041,ＢＢ団
42,1039,†魔導学校†
43,1034,ぷよビ～ッチ☆
44,1033,LovE?
45,1032,にないか
46,1032,ミッドガルド?
47,1030,賢者モード
48,1024,ねこずき
49,1022,いえろ～こんび♪
50,1022,ねこぽよ軍??
51,1018,やわらかギルド
52,1017,V.I.P.
53,1012,Lαvｉn&#039;υ?
54,1011,ぷよろう会
55,1008,★エーミール★
56,1006,果物の缶詰
57,1005,Law@
58,1002,一生を寝てい隊
59,1001,無KG板ギルド
60,998,自由都市ももにち
61,984,ぼっち同盟
62,979,2chスレギルド
63,974,とれっきんぐ
64,968,ファンタビーチ
65,966,お笑い?研究府
66,965,★愉快な仲間達☆
67,960,Buzz?
68,958,ひろす
69,951,パンダ百匹！！
70,951,?アンシェル?
71,950,ブルーウィング
72,950,佐久間上水
73,948,同じ穴のぷよら～
74,948,BestLuck
75,939,遊戯都市第七地区
76,933,ちょびぎるど
77,930,Ｋ２
78,928,ぷよっとパニック
79,927,チームかわいい
80,923,祝！ＳＳあひる組
81,922,手製ぷよ
82,914,Gunners!
83,913,トウーンタウン
84,911,うさぎの巣?
85,909,☆マーロボカフェ
86,909,?KoB?
87,907,ウィッチ魔法学院
88,903,みなとみらい
89,902,チームかつをぶし
90,902,早起は三文のとく
91,898,let&#039;sぷよ！
92,897,???☆
93,894,ラフィ亭
94,885,六猫?おーき軍
95,884,猫好き仙人界
96,881,Blackチョコ
97,880,AGILE
98,878,パーミテーション
99,873,SPIRAL★彡
100,872,ジュビレーション
101,872,陽だまりのねこ?
102,864,コンパイルクラブ
103,863,エランド
104,861,ぐみぷよ
105,854,お腹@ばよ?支店
106,846,まったり勢。
107,838,すたんどあっぷ
108,833,TEREON&#039;s
