,2015/11/15 18:07:01
pickUpTU
トム, ,
,,
,,
Mu, ,
,,
,,
星, ,
,,
,,
Ra, ,
,,
,,
上位, ,
,,
,,
Diz, ,
,,
,,
ばよ, ,
,,
,,
嵐山, ,
,,
,,
さんらいず, ,
,,
,,
とわいらいと, ,
,,
,,
pickUpRank
ranking
1,1509,Dizzy?
2,1503,Mumin谷??
3,1475,トムソン??
4,1399,☆☆ながれ星彡
5,1395,Ra?ffine
6,1370,上位目指す隊?
7,1346,ばよえ?ん。
8,1338,嵐山
9,1326,さんらいず??
10,1325,まるむすてぃ?ん
11,1299,†とわいらいと†
12,1244,早乙女学園?
13,1223,祝RedbuII
14,1212,さんせっと??
15,1210,?いちごぷよ隊?
16,1196,えすぽらーず
17,1178,カーバンクル
18,1157,tipo
19,1152,谷口ぴーまん
20,1149,かもみ～るかふぇ
21,1147,赤い妖精
22,1139,たいようのほこら
23,1124,ぴんぽーん
24,1102,だらゴロ・囚・
25,1101,?Ｃlair?
26,1094,☆命蓮寺☆
27,1092,Luxillia
28,1084,ねこたらんど
29,1082,ももピーチ帝国
30,1078,Antenna
31,1076,?怪盗スケルトン
32,1075,かおりワールド
33,1064,MYM318☆彡
34,1062,淡麗生!!
35,1060,ぷよクエ楽しみ隊
36,1060,にゃ?んだふる♪
37,1059,かわいいはせいぎ
38,1056,からあげ流星群
39,1055,プリンシパル☆彡
40,1053,†魔導学校†
41,1052,無課金こそ愉悦!
42,1050,ＢＢ団
43,1050,にないか
44,1049,LovE?
45,1048,ぷよビ～ッチ☆
46,1045,ミッドガルド?
47,1043,賢者モード
48,1037,ねこずき
49,1037,やわらかギルド
50,1036,ねこぽよ軍??
51,1033,いえろ～こんび♪
52,1032,V.I.P.
53,1024,Lαvｉn&#039;υ?
54,1021,★エーミール★
55,1021,ぷよろう会
56,1015,果物の缶詰
57,1014,一生を寝てい隊
58,1013,無KG板ギルド
59,1012,Law@
60,1008,自由都市ももにち
61,1000,ぼっち同盟
62,999,2chスレギルド
63,999,とれっきんぐ
64,992,ファンタビーチ
65,989,お笑い?研究府
66,984,★愉快な仲間達☆
67,983,Buzz?
68,980,ひろす
69,978,パンダ百匹！！
70,973,ブルーウィング
71,971,?アンシェル?
72,971,佐久間上水
73,968,BestLuck
74,966,同じ穴のぷよら～
75,959,遊戯都市第七地区
76,953,ちょびぎるど
77,950,Ｋ２
78,949,ぷよっとパニック
79,948,チームかわいい
80,946,手製ぷよ
81,941,祝！ＳＳあひる組
82,937,トウーンタウン
83,934,Gunners!
84,930,ウィッチ魔法学院
85,929,?KoB?
86,929,うさぎの巣?
87,928,☆マーロボカフェ
88,927,みなとみらい
89,925,let&#039;sぷよ！
90,922,早起は三文のとく
91,922,チームかつをぶし
92,921,???☆
93,916,ラフィ亭
94,906,猫好き仙人界
95,905,AGILE
96,905,パーミテーション
97,904,Blackチョコ
98,903,六猫?おーき軍
99,901,ジュビレーション
100,896,SPIRAL★彡
101,894,陽だまりのねこ?
102,885,ぐみぷよ
103,882,エランド
104,882,コンパイルクラブ
105,867,お腹@ばよ?支店
106,865,まったり勢。
107,856,TEREON&#039;s
108,850,すたんどあっぷ
109,845,ほうきぼし
