,2015/11/12 12:35:02
pickUpTU
トム, ,
,,
,,
Mu, ,
,,
,,
星, ,
,,
,,
Ra, ,
,,
,,
上位, ,
,,
,,
Diz, ,
,,
,,
ばよ, ,
,,
,,
嵐山, ,
,,
,,
さんらいず, ,
,,
,,
とわいらいと, ,
,,
,,
pickUpRank
ranking
1,1016,Dizzy?
2,979,Mumin谷??
3,851,トムソン??
4,810,Ra?ffine
5,766,☆☆ながれ星彡
6,751,上位目指す隊?
7,721,ばよえ?ん。
8,719,さんらいず??
9,696,†とわいらいと†
10,679,嵐山
11,668,えすぽらーず
12,667,さんせっと??
13,664,早乙女学園?
14,646,?いちごぷよ隊?
15,640,RedbuII?
16,640,まるむすてぃ?ん
17,620,かもみ～るかふぇ
18,594,赤い妖精
19,594,tipo
20,591,谷口ぴーまん
21,583,カーバンクル
22,571,たいようのほこら
23,570,淡麗生!!
24,561,?Ｃlair?
25,559,Antenna
26,558,からあげ流星群
27,554,MYM318☆彡
28,554,ミッドガルド?
29,542,かおりワールド
30,539,ぴんぽーん
31,536,だらゴロ・囚・
32,531,ねこたらんど
33,525,プリンシパル☆彡
34,525,LovE?
35,523,V.I.P.
36,521,?怪盗スケルトン
37,521,ぷよビ～ッチ☆
38,520,無課金こそ愉悦!
39,518,Law@
40,515,Lαvｉn&#039;υ?
41,514,一生を寝てい隊
42,513,いえろ～こんび♪
43,513,ねこぽよ軍??
44,511,ももピーチ帝国
45,509,†魔導学校†
46,505,にゃ?んだふる♪
47,503,にないか
48,503,☆命蓮寺☆
49,499,★愉快な仲間達☆
50,497,Luxillia
51,496,ねこずき
52,493,★エーミール★
53,491,Buzz?
54,489,チームかつをぶし
55,489,ちょびぎるど
56,488,ぷよクエ楽しみ隊
57,488,賢者モード
58,488,ＢＢ団
59,485,やわらかギルド
60,484,果物の缶詰
61,483,お笑い?研究府
62,482,ぷよろう会
63,480,自由都市ももにち
64,475,ぷよっとパニック
65,475,ぼっち同盟
66,473,かわいいはせいぎ
67,469,?アンシェル?
68,468,2chスレギルド
69,466,とれっきんぐ
70,466,同じ穴のぷよら～
71,465,?KoB?
72,462,佐久間上水
73,457,ラフィ亭
74,456,お腹@ばよ?支店
75,456,無KG板ギルド
76,456,ブルーウィング
77,455,Gunners!
78,455,ぁひるたいちょ組
79,452,遊戯都市第七地区
80,452,コンパイルクラブ
81,452,みなみけ
82,450,Ｋ２
83,450,トウーンタウン
84,450,うさぎの巣?
85,447,パンダ百匹！！
86,447,Blackチョコ
87,446,BestLuck
88,445,ウィッチ魔法学院
89,444,ファンタビーチ
90,443,エランド
91,443,パーミテーション
92,442,陽だまりのねこ?
93,441,ひろす
94,439,ジュビレーション
95,438,let&#039;sぷよ！
96,438,六猫?おーき軍
97,438,猫好き仙人界
98,437,みなとみらい
99,435,ギルド一ナツ
100,434,チームかわいい
101,434,COLORS＊*
102,433,ぷよく鉛筆?HB
103,431,早起は三文のとく
104,429,ぷよよよよよん?
105,429,☆ネコカフェ☆
106,428,TEREON&#039;s
107,425,手製ぷよ
108,422,SPIRAL★彡
109,422,ねこのうにメロン
110,419,北の大地☆人情派
111,418,けにくら！祝LS
112,418,風来のぷよ使い
