,2015/11/11 23:40:02
pickUpTU
トム, ,
,,
,,
Mu, ,
,,
,,
星, ,
,,
,,
Ra, ,
,,
,,
上位, ,
,,
,,
Diz, ,
,,
,,
ばよ, ,
,,
,,
嵐山, ,
,,
,,
さんらいず, ,
,,
,,
とわいらいと, ,
,,
,,
pickUpRank
ranking
1,670,Dizzy?
2,669,Mumin谷??
3,569,Ra?ffine
4,562,☆☆ながれ星彡
5,544,トムソン??
6,497,ばよえ?ん。
7,495,さんせっと??
8,493,上位目指す隊?
9,483,さんらいず??
10,478,†とわいらいと†
11,464,?いちごぷよ隊?
12,463,えすぽらーず
13,460,RedbuII?
14,460,早乙女学園?
15,443,嵐山
16,429,谷口ぴーまん
17,418,まるむすてぃ?ん
18,412,かもみ～るかふぇ
19,400,淡麗生!!
20,398,からあげ流星群
21,395,カーバンクル
22,393,Antenna
23,392,?Ｃlair?
24,389,たいようのほこら
25,383,tipo
26,381,無課金こそ愉悦!
27,381,かおりワールド
28,379,赤い妖精
29,378,MYM318☆彡
30,376,ミッドガルド?
31,369,ぴんぽーん
32,368,ねこたらんど
33,367,いえろ～こんび♪
34,365,?怪盗スケルトン
35,363,V.I.P.
36,362,LovE?
37,362,プリンシパル☆彡
38,362,チームかつをぶし
39,361,にゃ?んだふる♪
40,360,Lαvｉn&#039;υ?
41,360,だらゴロ・囚・
42,358,Law@
43,356,ぷよクエ楽しみ隊
44,355,ちょびぎるど
45,354,†魔導学校†
46,353,一生を寝てい隊
47,350,★愉快な仲間達☆
48,350,☆命蓮寺☆
49,347,同じ穴のぷよら～
50,345,祝3S佐久間上水
51,345,ねこずき
52,343,ももピーチ帝国
53,343,かわいいはせいぎ
54,342,お笑い?研究府
55,341,ＢＢ団
56,338,ねこぽよ軍??
57,335,にないか
58,335,ぷよビ～ッチ☆
59,333,やわらかギルド
60,332,★エーミール★
61,328,自由都市ももにち
62,326,ぷよっとパニック
63,325,ぷよろう会
64,325,賢者モード
65,324,ねこのうにメロン
66,323,果物の缶詰
67,320,ぷよよよよよん?
68,320,とれっきんぐ
69,320,ブルーウィング
70,319,?アンシェル?
71,319,Buzz?
72,318,ぼっち同盟
73,317,?KoB?
74,315,みなとみらい
75,314,無KG板ギルド
76,313,2chスレギルド
77,313,パーミテーション
78,311,Luxillia
79,310,ジュビレーション
80,309,ラフィ亭
81,308,Blackチョコ
82,308,お腹@ばよ?支店
83,307,エランド
84,306,けにくら！祝LS
85,306,トウーンタウン
86,305,BestLuck
87,305,ウィッチ魔法学院
88,305,うさぎの巣?
89,305,猫好き仙人界
90,304,AGILE
91,303,陽だまりのねこ?
92,302,Ｋ２
93,300,コスモツリー
94,300,ギルド一ナツ
95,299,ぷよく鉛筆?HB
96,299,Gunners!
97,299,SPIRAL★彡
98,299,コンパイルクラブ
99,299,遊戯都市第七地区
100,299,パンダ百匹！！
101,298,みなみけ
102,296,ファンタビーチ
103,295,ぁひるたいちょ組
104,295,ももぐみ
105,292,Lipton　
106,292,早起は三文のとく
107,292,LxStella
108,291,COLORS＊*
109,290,北の大地☆人情派
110,290,まったりにゃーん
111,289,?水守革命?
112,289,Tぷよ軍団
113,289,六猫?おーき軍
